imdbID,original title,genres,countries,country codes,box office,certificates,rating,votes,plot outline,year,kind,full-size cover url
0000012,L'arrivée d'un train à La Ciotat,"Documentary,Short",France,fr,N/A,N/A,7.4,12089,"A group of people are standing in a straight line along the platform of a railway station, waiting for a train, which is seen coming at some distance. When the train stops at the platform, the line dissolves. The doors of the railway-cars open, and people on the platform help passengers to get off.",1896,short,https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@.jpg
0000001,Carmencita,"Documentary,Short",United States,us,N/A,N/A,5.7,1949,"Presumably, the first woman ever to appear in a Kinetoscope film and possibly the first woman to take part in a motion picture in the United States, the Spaniard dancer, Carmencita, performs her appealing high-kick dance in front of the camera of William K.L. Dickson and William Heise, for Thomas Edison. In this segment of her New York music-hall act, she spins and twirls, exhibiting an admirable talent, a fashionable dress, and a really charming smile.",1894,short,https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@.jpg
0000011,Akrobatisches Potpourri,"Documentary,Short",Germany,de,N/A,N/A,5.3,363,N/A,1895,movie,https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000002,Le clown et ses chiens,"Animation,Short",France,fr,N/A,N/A,5.8,264,N/A,1892,movie,https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
0000008,Edison Kinetoscopic Record of a Sneeze,"Documentary,Short",United States,us,N/A,N/A,5.4,2091,A man (Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Edison films and was the first motion picture to be copyrighted in the United States.,1894,movie,https://m.media-amazon.com/images/M/MV5BNGQ5MjZjYzgtYjJhMC00NDIzLTk0NjgtNmRjZDc1ZGM5MmM5XkEyXkFqcGdeQXVyOTUzMjk0NDE@.jpg
0000007,Corbett and Courtney Before the Kinetograph,"Short,Sport",United States,us,N/A,N/A,5.4,811,"James J. Corbett and Peter Courtney meet in a boxing exhibition, with special conditions that will allow the Thomas Edison Company to film the match and show it on their Kinetograph. The match consists of six one-minute rounds. The popular James J. Corbett had earlier defeated the great John L. Sullivan and must be considered a heavy favourite. But, at least for a while, Peter Courtney seems to be holding his own.",1894,short,https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@.jpg
0000006,Chinese Opium Den,Short,United States,us,N/A,N/A,5.1,177,N/A,1894,movie,https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000003,Pauvre Pierrot,"Animation,Comedy,Short,Romance",France,fr,N/A,Germany:12,6.5,1781,N/A,1892,short,https://m.media-amazon.com/images/M/MV5BYWZiY2U3MjgtMzYzNS00OGUzLWI3OTQtNjkyMmZiZjEzNDc2XkEyXkFqcGdeQXVyOTUzMjk0NDE@.jpg
0000005,Blacksmith Scene,"Short,Comedy",United States,us,N/A,N/A,6.2,2581,"A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes.",1893,short,https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@.jpg
0000010,La sortie de l'usine Lumière à Lyon,"Documentary,Short",France,fr,N/A,N/A,6.9,7051,"A man opens the big gates to the Lumière factory. Through the gateway and a smaller doorway beside it, workers are streaming out, turning either left or right. Most of them are women in long dresses and big hats, but some are men. Suddenly a man with a long apron rushes out through the crowd, followed by a big dog. At last some men on bikes leave the gateway. When all workers have left the factory, the doorkeeper starts closing the gates again.",1895,short,https://m.media-amazon.com/images/M/MV5BY2EwNzY0YmItOWM2MS00MmQyLWEzYmUtYmQ4ZDNlYjg1OGY0XkEyXkFqcGdeQXVyOTUzMjk0NDE@.jpg
